"","","","","","","X.Intercept."
"379","22","30","hn","0.7","p","1.49991221650032"
"380","22","30","hn","0.7","b0","9.58970224057259"
"381","22","30","hn","0.7","cov1",NA
"382","22","30","hn","0.7","cov2",NA
"383","22","30","hn","0.7","aic","2.00000000652229"
"384","22","30","hn","0.7","varp","3.04216669895162"
"385","22","30","hn+cov1","0.7","p","1.40934118698888"
"386","22","30","hn+cov1","0.7","b0","-0.402642603656453"
"387","22","30","hn+cov1","0.7","cov1","4.6203852112578"
"388","22","30","hn+cov1","0.7","cov2",NA
"389","22","30","hn+cov1","0.7","aic","3.79458018257361"
"390","22","30","hn+cov1","0.7","varp","0.179889698128869"
"391","22","30","hn+cov1+cov2","0.7","p","1.19500703362043"
"392","22","30","hn+cov1+cov2","0.7","b0","-2.58233186784342"
"393","22","30","hn+cov1+cov2","0.7","cov1","0.248340363236456"
"394","22","30","hn+cov1+cov2","0.7","cov2","6.7318888418967"
"395","22","30","hn+cov1+cov2","0.7","aic","3.38367150980013"
"396","22","30","hn+cov1+cov2","0.7","varp","0.597454272041492"
"397","23","30","hn","0.7","p","0.79298334255834"
"398","23","30","hn","0.7","b0","-0.293153440111952"
"399","23","30","hn","0.7","cov1",NA
"400","23","30","hn","0.7","cov2",NA
"401","23","30","hn","0.7","aic","0.178635143910876"
"402","23","30","hn","0.7","varp","0.133194672583363"
"403","23","30","hn+cov1","0.7","p","0.791179385733457"
"404","23","30","hn+cov1","0.7","b0","-1.0590497562463"
"405","23","30","hn+cov1","0.7","cov1","4.61511581433118"
"406","23","30","hn+cov1","0.7","cov2",NA
"407","23","30","hn+cov1","0.7","aic","0.175955699169212"
"408","23","30","hn+cov1","0.7","varp","0.175669305796155"
"409","23","30","hn+cov1+cov2","0.7","p","0.6233510781611"
"410","23","30","hn+cov1+cov2","0.7","b0","-1.26759520918273"
"411","23","30","hn+cov1+cov2","0.7","cov1","-2.69647464400691"
"412","23","30","hn+cov1+cov2","0.7","cov2","3.11677335390624"
"413","23","30","hn+cov1+cov2","0.7","aic","-2.79098939143081"
"414","23","30","hn+cov1+cov2","0.7","varp","0.364386651274497"
"415","24","30","hn","0.7","p","1.09172028308848"
"416","24","30","hn","0.7","b0","1.12047439950326"
"417","24","30","hn","0.7","cov1",NA
"418","24","30","hn","0.7","cov2",NA
"419","24","30","hn","0.7","aic","1.99325902788436"
"420","24","30","hn","0.7","varp","0.211812654085626"
"421","24","30","hn+cov1","0.7","p","0.959514457467847"
"422","24","30","hn+cov1","0.7","b0","-0.477268031951559"
"423","24","30","hn+cov1","0.7","cov1","1.4143383136592"
"424","24","30","hn+cov1","0.7","cov2",NA
"425","24","30","hn+cov1","0.7","aic","3.18815073747398"
"426","24","30","hn+cov1","0.7","varp","0.176940382227438"
